Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2170.259047,2248.450364,1156.528545,634.9384016,409.7622515,497.3072227,543.2489632,573.5984981,591.1143768,578.924653,625.5032273,624.5554713,586.4406484,622.5828814,661.9296799,798.5441805,818.2749974,918.1816125,973.2171452,851.3383877,815.627987,896.9480238,982.4424153,959.8016823,1045.975114,1084.520629,1043.097972,1105.96697,1072.336825,1163.092847,1233.304559,1271.528056,1347.590557,,
American Samoa,ASM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567.048996,,,,,,,,,,,,,,1714.96081,1720.867719,1774.105503,1786.938216,,,,,,,,,,,,,,,,,
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3063.554271,3115.787084,3172.974865,3284.050959,3349.414167,3463.215578,3546.53798,3692.80795,3763.558415,3792.934763,4063.41137,3989.629744,4035.206344,4264.271226,4294.161626,4345.871446,4405.702986,4671.195674,4629.618471,4683.853176,4737.482031,4695.852984,4815.507545,4547.904592,4641.145344,4594.119308,4623.753508,4772.378094,4702.851847,5001.098343,5047.638803,4925.057356,4960.574435,5171.292761,5127.433887,5138.24234,5429.944199,5497.646392,5584.827875,5644.579878,5681.228859,5486.394559,5480.234643,5615.576756,5652.130379,5624.495613,5775.116752,5853.764132,5951.192915,5843.933129,5762.943566,5698.655973,5533.722338,5533.381464,5407.438226,5318.666793,5216.988672,5323.928583,5282.206643,5295.871644,5229.062653,5070.767227,4889.621279,5078.218284,
Austria,AUT,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1546.261468,1554.034906,1675.873621,1823.995225,1855.085155,1851.843564,1902.756408,1920.212124,2045.828123,2181.632309,2418.210129,2508.520919,2627.322496,2830.946802,2730.437326,2654.848729,2866.97592,2797.421922,2893.022299,3138.916143,3067.01192,2897.009398,2830.221781,2843.405568,2953.68815,3051.597062,3061.588862,3174.745392,3204.562182,3138.983488,3240.45367,3415.50429,3245.896382,3256.116781,3234.793928,3374.076116,3580.793201,3550.913985,3607.006791,3592.171968,3570.948532,3758.793163,3771.719492,3956.938946,3974.506368,4084.352619,4105.07525,4010.095149,4027.905566,3819.499869,4065.041896,3927.582565,3899.164842,3924.821354,3750.344801,3795.510374,3797.168022,3839.948052,3717.625321,3765.980119,3546.327712,3726.619166,3465.290534,3324.726691,
Azerbaijan,AZE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3158.922728,3088.31328,2464.933138,2175.617533,1948.059775,1809.449159,1513.854705,1444.490131,1485.308771,1369.282409,1403.598747,1411.214349,1414.776025,1476.841024,1539.500039,1600.227803,1559.849176,1459.388982,1587.24837,1391.330992,1305.912093,1396.044781,1497.294867,1497.902575,1526.158779,1510.918569,1480.934283,1478.784184,1471.370276,1594.110773,1542.52181,1630.734775,1720.315888,,
Burundi,BDI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2519.49732,2570.815623,2810.061148,3043.306993,3021.647212,3116.033563,3051.297429,3182.923458,3590.004258,3877.044364,4135.19977,4099.95532,4473.929513,4720.784112,4617.498595,4317.935658,4622.233118,4589.52441,4826.564957,4976.777099,4743.42206,4415.358604,4208.257802,4156.257407,4334.902427,4474.062993,4633.920017,4727.686395,4770.948398,4798.926451,4804.346185,5002.449223,5042.294019,4897.976593,5185.933735,5261.809354,5527.625869,5533.739283,5620.646078,5610.798821,5662.981747,5606.172983,5397.648178,5609.482714,5615.40613,5549.637609,5445.565471,5302.04533,5425.006832,5161.342273,5511.784541,5064.329356,4824.267212,5000.376135,4701.136259,4661.534532,4904.128198,4863.483722,4660.133773,4773.932614,4358.941277,4793.046871,4333.042675,3997.421958,
Benin,BEN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,352.4912697,360.8375632,360.082668,359.2848223,360.9321047,341.3658245,344.5769791,348.9361416,345.567978,344.5766908,334.3661094,336.0826984,335.603969,333.9276129,339.9426886,333.0853699,327.6761622,326.0734465,318.0863146,314.6094368,309.7098638,307.6980079,301.2626709,296.5110317,296.6791286,336.5402984,339.0059556,324.2533102,327.9432909,274.5814364,283.2302734,294.7241458,301.4991517,305.2795363,296.6474299,339.2709728,358.1233736,355.1915688,361.6537177,363.7435748,352.901249,346.2208221,366.7430878,367.294185,379.4920267,409.0388211,412.3043521,423.2833238,414.5436411,426.1854787,376.0552953,375.8209836,,
Burkina Faso,BFA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.6930311,173.9334034,174.2391702,176.2967203,173.3790629,173.2765626,162.0265325,162.1318587,160.958601,120.2944782,122.8763316,138.8084043,140.3666602,145.4122029,149.2020255,152.4540653,160.0519471,167.380497,168.8003109,171.4498883,227.9390251,235.6749139,249.0690451,258.2297064,264.9499046,279.2199821,271.6155753,285.3137994,299.9134373,302.3306934,263.882988,303.1718535,312.9290858,,
